vehicle_id,origin,destination
0,88509,40354
1,46069,80459
2,87235,37865
3,74152,46097
4,94077,79705
5,42919,54542
6,80393,75871
7,45994,95919
8,95287,33672
9,34941,94724
10,44582,30360
11,88092,97178
12,77830,29983
13,85451,44398
14,93885,84681
15,39218,88418
16,83085,86339
17,80630,94722
18,30513,73335
19,67314,75393
20,19539,84891
21,77735,45775
22,45994,97950
23,96547,86825
24,63173,30697
25,89094,86077
26,28538,36152
27,84421,119343
28,49850,78532
29,46227,51985
30,29782,80428
31,94156,80160
32,52922,29998
33,77814,32205
34,88418,96781
35,47697,77821
36,72404,3619
37,51416,91668
38,40013,98156
39,87979,89718
40,86148,93211
41,83161,44263
42,67745,35343
43,6802,73307
44,87322,74309
45,53798,46856
46,96290,78737
47,86273,70929
48,85418,33470
49,86370,96029
50,27972,36020
51,92064,99227
52,38656,85807
53,79360,75454
54,54804,33952
55,84439,30215
56,37672,81656
57,87860,46753
58,54945,41699
59,77493,41271
60,53798,35047
61,89745,41173
62,57783,35706
63,51860,30377
64,98146,15535
65,79502,77544
66,93947,72869
67,72343,78893
68,66686,35632
69,78559,51643
70,32858,99165
71,49096,69153
72,65931,94610
73,46066,47386
74,76935,82532
75,55490,82142
76,83184,92997
77,41583,77272
78,63592,91349
79,99622,81627
80,93834,73371
81,14311,72451
82,80966,86857
83,94627,47341
84,45000,39225
85,46734,92698
86,45049,72684
87,34800,84825
88,95082,47112
89,53857,45918
90,72869,77600
91,90339,32001
92,7436,75376
93,34550,73772
94,96290,84861
95,88295,96555
96,63585,84722
97,94622,30128
98,47801,77976
99,60622,47031
100,63843,40870
101,43416,52215
102,65745,78997
103,96010,52402
104,52635,27419
105,50786,98132
106,59196,49733
107,89323,82447
108,92064,44993
109,49793,50147
110,43155,79825
111,91669,49879
112,89745,73006
113,51656,31802
114,79363,86083
115,117338,86066
116,53094,39695
117,97265,78125
118,6377,97380
119,99027,51403
120,96497,75907
121,7081,30440
122,104583,96571
123,46788,40606
124,30249,94608
125,94924,49963
126,72347,87265
127,85188,79821
128,95491,48332
